College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
Los Angeles Pierce College,UCSB,DataStructures,A,1,CMPSC 24,CS 136 (3.00),,,
Los Angeles Pierce College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 275 (3.00),,,
Los Angeles Pierce College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 131 (3.00),,,
Los Angeles Pierce College,UCSB,Intro,A,1,CMPSC 16,CS 114 (3.00),CS 116 (3.00),,
Los Angeles Pierce College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270 (3.00),,,
Los Angeles Pierce College,UCSC,Calc1,A,1,MATH 19A,MATH 261 (5.00),,,
Los Angeles Pierce College,UCSC,Calc2,A,1,MATH 19B,MATH 262 (5.00),,,
Los Angeles Pierce College,UCSC,DiscreteMath,A,1,CSE 16,CS 131 (3.00),,,
Los Angeles Pierce College,UCSC,Intro,A,1,CSE 30,CS 136 (3.00),CS 236 (3.00),,
Los Angeles Pierce College,UCSC,Organization,A,1,CSE 12,CS 130 (3.00),CS 230 (3.00),,
Los Angeles Pierce College,UCSD,Calc1,A,1,MATH 20A,MATH 261 (5.00),,,
Los Angeles Pierce College,UCSD,Calc2,A,1,MATH 20B,MATH 262 (5.00),,,
Los Angeles Pierce College,UCSD,Calc3,A,1,MATH 20C,MATH 263 (5.00),,,
Los Angeles Pierce College,UCSD,DataStructures,A,1,CSE 12,CS 136 (3.00),,,
Los Angeles Pierce College,UCSD,DiscreteMath,A,1,CSE 20,CS 131 (3.00),,,
Los Angeles Pierce College,UCSD,Intro,A,1,CSE 11,CS 216 (3.00),CS 213 (3.00),,
Los Angeles Pierce College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 270 (3.00),,,
