College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,,
Cuyamaca College,UCLA,Calc1,A,1,MATH 31A,MATH 180 (5.00),,
Cuyamaca College,UCLA,Calc2,A,1,MATH 31B,MATH 280 (4.00),,
Cuyamaca College,UCLA,Calc3,A,1,MATH 32A,MATH 281 (4.00),,
Cuyamaca College,UCLA,Calc4,A,1,MATH 32B,MATH 281 (4.00),,
Cuyamaca College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 285 (3.00),,
Cuyamaca College,UCLA,DiscreteStructures,A,1,MATH 61,MATH 245 (3.00),,
Grossmont College,UCLA,Intro,A,1,COM SCI 31,CSIS 296 (4.00),CSIS 297 (4.00),
Not Articulated,UCLA,Intro2,A,1,COM SCI 32,Not Articulated,,
Grossmont College,UCLA,Intro3,A,1,COM SCI 33,CSIS 165 (4.00),,
Cuyamaca College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 284 (3.00),,
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,
Cuyamaca College,UCM,Calc1,A,1,MATH 021,MATH 180 (5.00),,
Cuyamaca College,UCM,Calc2,A,1,MATH 022,MATH 280 (4.00),,
Cuyamaca College,UCM,DataStructures,A,1,CSE 030,CS 281 (4.00),CS 282 (4.00),
Cuyamaca College,UCM,LinearAlgebra,A,1,MATH 024,MATH 284 (3.00); MATH 285 (3.00),,
Cuyamaca College,UCM,VectorCalc,A,1,MATH 023,MATH 281 (4.00),,
Cuyamaca College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 180 (5.00); MATH 280 (4.00),,
Cuyamaca College,UCR,Intro1,A,1,CS 10A,CS 181 (4.00),CS 182 (4.00),
Cuyamaca College,UCR,Intro2,A,1,CS 10B,CS 281 (4.00),,
Cuyamaca College,UCSB,Calc1,A,1,MATH 3A,MATH 180 (5.00),,
Cuyamaca College,UCSB,Calc2,A,1,MATH 3B,MATH 280 (4.00),,
Cuyamaca College,UCSB,DataStructures,A,1,CMPSC 24,CS 281 (4.00),,
Cuyamaca College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 285 (3.00),,
Cuyamaca College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 240 (3.00),MATH 245 (3.00),
Cuyamaca College,UCSB,Intro,A,1,CMPSC 16,CS 181 (4.00),,
Cuyamaca College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 284 (3.00),,
Cuyamaca College,UCSC,Calc1,A,1,MATH 19A,MATH 180 (5.00),,
Cuyamaca College,UCSC,Calc2,A,1,MATH 19B,MATH 280 (4.00),,
Grossmont College,UCSC,DataStructures,A,1,CSE 12,CSIS 165 (4.00),,
Cuyamaca College,UCSC,DiscreteMath,A,1,CSE 16,MATH 245 (3.00),,
Grossmont College,UCSC,Intro,A,1,CSE 30,CSIS 294 (4.00),,
Cuyamaca College,UCSD,Calc1,A,1,MATH 20A,MATH 180 (5.00),,
Cuyamaca College,UCSD,Calc2,A,1,MATH 20B,MATH 280 (4.00),,
Cuyamaca College,UCSD,Calc3,A,1,MATH 20C,MATH 281 (4.00),,
Cuyamaca College,UCSD,DataStructures,A,1,CSE 12,CS 282 (4.00),,
Cuyamaca College,UCSD,DiscreteMath,A,1,CSE 20,MATH 245 (3.00),,
Grossmont College,UCSD,Intro,A,1,CSE 11,CSIS 294 (4.00),,
Cuyamaca College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 284 (3.00),,
