College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
MiraCosta College,UCLA,Calc1,A,1,MATH 31A,MATH 150 (5.00),MATH 150H (5.00),
MiraCosta College,UCLA,Calc2,A,1,MATH 31B,MATH 155 (4.00),,
MiraCosta College,UCLA,Calc3,A,1,MATH 32A,MATH 260 (4.00),,
MiraCosta College,UCLA,Calc4,A,1,MATH 32B,MATH 260 (4.00),,
MiraCosta College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 265 (4.00),,
MiraCosta College,UCLA,DiscreteStructures,A,1,MATH 61,MATH 226 (4.00),CS 226 (4.00),
MiraCosta College,UCLA,Intro,A,1,COM SCI 31,CS 150 (3.00),,
MiraCosta College,UCLA,Intro2,A,1,COM SCI 32,CS 151 (3.00),,
MiraCosta College,UCLA,Intro3,A,1,COM SCI 33,CS 220 (3.00),,
MiraCosta College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 270 (4.00),,
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,
MiraCosta College,UCM,Calc1,A,1,MATH 021,MATH 150 (5.00),MATH 150H (5.00),
MiraCosta College,UCM,Calc2,A,1,MATH 022,MATH 155 (4.00),,
MiraCosta College,UCM,DataStructures,A,1,CSE 030,CS 113 (3.00),,
MiraCosta College,UCM,LinearAlgebra,A,1,MATH 024,MATH 265 (4.00); MATH 270 (4.00),,
MiraCosta College,UCM,VectorCalc,A,1,MATH 023,MATH 260 (4.00),,
MiraCosta College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 150 (5.00); MATH 155 (4.00),,
MiraCosta College,UCR,Intro1,A,1,CS 10A,CS 111 (3.00),CS 138 (3.00),CS 150 (3.00)
MiraCosta College,UCR,Intro2,A,1,CS 10B,CS 112 (3.00),CS 151 (3.00),
MiraCosta College,UCSB,Calc1,A,1,MATH 3A,MATH 150 (5.00),MATH 150H (5.00),MATH 150S (7.00)
MiraCosta College,UCSB,Calc2,A,1,MATH 3B,MATH 155 (4.00),,
MiraCosta College,UCSB,DataStructures,A,1,CMPSC 24,CS 113 (3.00); CS 151 (3.00),,
MiraCosta College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 265 (4.00),,
MiraCosta College,UCSB,DiscreteMath,A,1,CMPSC 40,CS 226 (4.00),MATH 226 (4.00),
MiraCosta College,UCSB,Intro,A,1,CMPSC 16,CS 150 (3.00),,
MiraCosta College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 270 (4.00),,
MiraCosta College,UCSC,Calc1,A,1,MATH 19A,MATH 150 (5.00),MATH 150H (5.00),MATH 150S (7.00)
MiraCosta College,UCSC,Calc2,A,1,MATH 19B,MATH 155 (4.00),,
MiraCosta College,UCSC,DiscreteMath,A,1,CSE 16,CS 226 (4.00),MATH 226 (4.00),
MiraCosta College,UCSC,Intro,A,1,CSE 30,CS 113 (3.00),,
MiraCosta College,UCSC,Organization,A,1,CSE 12,CS 220 (3.00),,
MiraCosta College,UCSD,Calc1,A,1,MATH 20A,MATH 150 (5.00),MATH 150H (5.00),
MiraCosta College,UCSD,Calc2,A,1,MATH 20B,MATH 155 (4.00),,
MiraCosta College,UCSD,Calc3,A,1,MATH 20C,MATH 260 (4.00),,
MiraCosta College,UCSD,DataStructures,A,1,CSE 12,CS 113 (3.00),,
MiraCosta College,UCSD,DiscreteMath,A,1,CSE 20,MATH 226 (4.00),CS 226 (4.00),
MiraCosta College,UCSD,Intro,A,1,CSE 11,CS 112 (3.00),,
MiraCosta College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 270 (4.00),,
