cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
cabrillo,UCLA+UCSC+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCM+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCR+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCSB+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCI+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCI+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCSC+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCM+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCR+UCSB+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCR+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCR+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCR+UCSC+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM+UCR+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCSB+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCSB+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCSB+UCSC+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM+UCSB+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCD+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCSC+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCM+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCSC+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCM+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCM+UCSC+UCSD,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCLA+UCR,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCLA+UCSB,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCI+UCLA,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCI+UCLA,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCLA+UCSC,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCI+UCLA+UCM,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCR+UCSB,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCLA+UCR,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCLA+UCR,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCR+UCSC,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCM+UCR,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCD+UCLA+UCSB,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCB+UCLA+UCSB,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCSB+UCSC,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
cabrillo,UCLA+UCM+UCSB,3,IGETC,success,8,105,True,17,12,15,15,15,13,15,15,
