cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
chabot,UCB+UCLA+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCR+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCLA+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCM+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCM+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCLA+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCM+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCM+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCLA+UCM+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCLA+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCLA+UCM,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCLA+UCM+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCLA+UCM+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCR+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCI+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCM+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCM+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCI+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCM+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCM+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCM+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCI+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCI+UCM,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCM+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCM+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCR+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCR+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCR+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCM+UCR+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCM+UCR,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCR+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCM+UCSB,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCM+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCM+UCSB+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCD+UCM+UCSC,4,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCR+UCSB+UCSD,5,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCD+UCI+UCLA+UCR+UCSD,5,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCB+UCI+UCLA+UCR+UCSD,5,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
chabot,UCI+UCLA+UCR+UCSC+UCSD,5,IGETC,success,7,89,True,14,12,15,14,14,14,14,15,
