cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,major_courses_total,ge_courses_total,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
miracosta,UCI+UCSB,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCI,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCI,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCSC,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCM,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCR+UCSB,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCR,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCR,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCR+UCSC,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM+UCR,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCSB,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCSB,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCSB+UCSC,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM+UCSB,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCD,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCSC,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCM,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCSC,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCM,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM+UCSC,2,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCLA+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCR+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCSB+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCLA+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCLA+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCSC+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCM+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCR+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCSB+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCI+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCI+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCSC+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCM+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCR+UCSB+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCR+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCR+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCR+UCSC+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM+UCR+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCSB+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCSB+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCSB+UCSC+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM+UCSB+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCD+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCSC+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCM+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCSC+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCM+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCM+UCSC+UCSD,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCLA+UCR,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCLA+UCSB,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCI+UCLA,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCI+UCLA,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCLA+UCSC,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCI+UCLA+UCM,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCR+UCSB,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCD+UCLA+UCR,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCB+UCLA+UCR,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCR+UCSC,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
miracosta,UCLA+UCM+UCR,3,IGETC,success,5,70,True,9,12,14,14,15,15,12,0,
