cc,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
foothill,UCD+UCI+UCR+UCSB,4,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCI+UCR+UCSB,4,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCI+UCR+UCSB+UCSC,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCI+UCM+UCR+UCSB,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCR,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCI+UCR+UCSC,4,IGETC,success,4,69,False,18,18,18,15,0,0,
foothill,UCD+UCI+UCM+UCR,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCI+UCR+UCSC,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCI+UCM+UCR,4,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCI+UCM+UCR+UCSC,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCSB,4,IGETC,success,5,84,False,18,18,18,18,12,0,
foothill,UCD+UCI+UCSB+UCSC,4,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCD+UCI+UCM+UCSB,4,IGETC,success,5,84,False,18,18,18,18,12,0,
foothill,UCB+UCI+UCSB+UCSC,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCI+UCM+UCSB,4,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCI+UCM+UCSB+UCSC,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCI+UCSC,4,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCD+UCI+UCM,4,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCD+UCI+UCM+UCSC,4,IGETC,success,5,81,False,18,18,18,18,9,0,
foothill,UCB+UCI+UCM+UCSC,4,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCB+UCD+UCR+UCSB,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCR+UCSB+UCSC,4,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCD+UCM+UCR+UCSB,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCR+UCSB+UCSC,4,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCM+UCR+UCSB,4,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCM+UCR+UCSB+UCSC,4,IGETC,success,5,75,False,18,18,18,18,3,0,
foothill,UCB+UCD+UCR+UCSC,4,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCB+UCD+UCM+UCR,4,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCD+UCM+UCR+UCSC,4,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCB+UCM+UCR+UCSC,4,IGETC,success,4,69,False,18,18,18,15,0,0,
foothill,UCB+UCD+UCSB+UCSC,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCD+UCM+UCSB,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCD+UCM+UCSB+UCSC,4,IGETC,success,5,78,False,18,18,18,18,6,0,
foothill,UCB+UCM+UCSB+UCSC,4,IGETC,success,4,69,False,18,18,18,15,0,0,
foothill,UCB+UCD+UCM+UCSC,4,IGETC,success,4,72,False,18,18,18,18,0,0,
foothill,UCI+UCLA+UCR+UCSB+UCSD,5,IGETC,success,6,91.5,False,18,18,19.5,18,15,3,
