UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCSD,Calc1,A,1,MATH 20A,MATH 3A (5.00),MATH 3AH (5.00),,
UCSD,Calc2,A,1,MATH 20B,MATH 3B (5.00),MATH 3BH (5.00),,
UCSD,Calc3,A,1,MATH 20C,MATH 4A (5.00),,,
UCSB,Calc1,A,1,MATH 3A,MATH 3A (5.00),MATH 3AH (5.00),,
UCSB,Calc2,A,1,MATH 3B,MATH 3B (5.00),MATH 3BH (5.00),,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 26 (4.00),MATH 26H (4.00),,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 24 (4.00),MATH 24H (4.00),,
UCSB,Intro,A,1,CMPSC 16,CS 36 (3.00),CS 37 (3.00),,
UCSB,DataStructures,A,1,CMPSC 24,CS 41 (3.00),,,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 6A (3.00),MATH 6A (3.00),,
UCSC,Organization,A,1,CSE 12,CS 40A (3.00); CS 40B (3.00),,,
UCSC,DiscreteMath,A,1,CSE 16,CS 6A (3.00); CS 6B (3.00),MATH 6A (3.00); MATH 6B (3.00),,
UCSC,Intro,A,1,CSE 30,CS 41 (3.00),,,
UCSC,Calc1,A,1,MATH 19A,MATH 3A (5.00),MATH 3AH (5.00),,
UCSC,Calc2,A,1,MATH 19B,MATH 3B (5.00),MATH 3BH (5.00),,
