severity,root_cause,recommended_action,uc,uc_full,cc,status,receiving,issue_type,message,expected,actual,url,view_by_key
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Foothill College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=51&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F51%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/51/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Foothill College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=51&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F51%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/51/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Fresno City College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=35&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F35%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/35/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Fresno City College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=35&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F35%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/35/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Fullerton College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=134&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F134%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/134/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Fullerton College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=134&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F134%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/134/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Gavilan College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=72&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F72%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/72/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Gavilan College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=72&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F72%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/72/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Glendale Community College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=43&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F43%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/43/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Glendale Community College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=43&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F43%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/43/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Golden West College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=55&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F55%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/55/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Golden West College,fail,CSE 030,duplicate_merged_row,duplicate ASSIST receiving row,multiple ASSIST articulation rows normalize to the same receiving course,,https://assist.org/transfer/results?year=76&institution=55&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F55%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/55/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Grossmont College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=106&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F106%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/106/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
low,duplicate_receiving_label,Check whether ASSIST repeats the same receiving course in multiple contexts; usually lower priority than grouping errors.,UCM,University of California Merced,Hartnell College,fail,CSE 030,duplicate_merged_row,duplicate raw CSV receiving row,2,,https://assist.org/transfer/results?year=76&institution=123&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F123%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477,76/123/to/144/Major/be462cb5-458a-4c3d-5be5-08dd9e07c477
