research_severity,filtered_impact,in_course_reqs,in_filtered_results,root_cause,raw_severity,uc,uc_full,cc,receiving,issue_type,message,expected_raw,actual_raw,expected_filtered,actual_filtered,recommended_action,url,view_by_key
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,Chabot College,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)'], ['ENGL 4A (4.00)', 'ENGL C1001 (4.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=96&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/96/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,Chaffey College,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL 1A (3.00)'], ['ENGL 1B (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=69&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F69%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/69/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,Citrus College,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)', 'ENGL C1000 E (5.00)', 'ENGL C1000 H (4.00)', 'ENGL 102 (3.00)'], ['ENGL 103 (3.00)', 'ENGL 103H (3.00)', 'ENGL C1001 (3.00)', 'ENGL C1001 H (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=97&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F97%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/97/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,Clovis Community College,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)', 'ENGL C1000H (4.00)'], ['ENGL 1B (3.00)', 'ENGL 1BH (3.00)', 'ENGL C1001 (3.00)', 'ENGL C1001H (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=150&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F150%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/150/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,Coastline Community College,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)'], ['ENGL C101 (4.00)', 'ENGL C1001 (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=105&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F105%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/105/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,College of Alameda,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)', 'ENGL C1000E (5.00)'], ['ENGL 1B (4.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=111&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F111%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/111/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,College of Marin,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)'], ['ENGL 151 (4.00)', 'ENGL C1001 (4.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=4&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F4%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/4/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,College of San Mateo,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (3.00)', 'ENGL C1000E (5.00)'], ['ENGL 110 (3.00)', 'ENGL C1001 (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=5&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F5%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/5/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,College of the Desert,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)'], ['ENG 2 (4.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=30&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F30%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/30/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,College of the Redwoods,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)'], ['ENGL 1B (3.00)', 'ENGL 2B (4.00)', 'ENGL C1001 (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=83&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F83%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/83/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,College of the Sequoias,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)'], ['ENGL C1001 (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=6&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F6%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/6/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
info,no,False,False,non_course_requirement_placeholder,info,UCB,University of California Berkeley,College of the Siskiyous,<blank>,unexpected_row,unexpected raw CSV row,,"[['ENGL C1000 (4.00)'], ['ENGL C1001 (3.00)', 'ENGL 1501 (3.00)']]",[],[],No CS-filtered impact: receiving course is not configured in course_reqs.py.,https://assist.org/transfer/results?year=76&institution=102&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F102%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7,76/102/to/79/Major/7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
