cc,uc,status,receiving,issue_type,message,exception_covered,expected,actual,url
Chabot College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 4A (4.00)',), ('ENGL C1001 (4.00)',), ('CSCI 14 (4.00)',), ('CSCI 15 (4.00)',), ('ENGR 25 (3.00)',))",https://assist.org/transfer/results?year=76&institution=96&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Chabot College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 4A (4.00)',), ('ENGL C1001 (4.00)',), ('CSCI 14 (4.00)',), ('CSCI 15 (4.00)',), ('ENGR 25 (3.00)',))",,https://assist.org/transfer/results?year=76&institution=96&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Chabot College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=96&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Chabot College,University of California Merced,fail,PHYS 008; PHYS 008L,sending_options_mismatch,sending options differ,False,"(('PHYS 4A (5.00)',), ('PHYS 7A (5.00)', 'PHYS 7B (5.00)'))","(('PHYS 7A (5.00)', 'PHYS 7B (5.00)'), ('PHYS 4A (5.00)',))",https://assist.org/transfer/results?year=76&institution=96&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F96%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Chaffey College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 1A (3.00)',), ('ENGL 1B (3.00)',))",https://assist.org/transfer/results?year=76&institution=69&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F69%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Chaffey College,University of California Berkeley,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 1A (3.00)',), ('ENGL 1B (3.00)',))",,https://assist.org/transfer/results?year=76&institution=69&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F69%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
Chaffey College,University of California Los Angeles,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL 1B (3.00)',), ('ENGL 1C (3.00)',), ('Not Articulated',))",https://assist.org/transfer/results?year=76&institution=69&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F69%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Chaffey College,University of California Los Angeles,fail,Requirement,missing_row,missing raw CSV row,False,"(('ENGL 1B (3.00)',), ('ENGL 1C (3.00)',))",,https://assist.org/transfer/results?year=76&institution=69&agreement=117&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F69%2Fto%2F117%2FMajor%2F3fc7b07d-4058-4a0a-1f72-08ddcb96df9e
Chaffey College,University of California Merced,fail,EE 060,missing_row,missing raw CSV row,False,"(('Not Articulated',),)",,https://assist.org/transfer/results?year=76&institution=69&agreement=144&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F69%2Fto%2F144%2FMajor%2Fbe462cb5-458a-4c3d-5be5-08dd9e07c477
Citrus College,University of California Berkeley,fail,,unexpected_row,unexpected raw CSV row,False,,"(('ENGL C1000 (4.00)', 'ENGL C1000 E (5.00)', 'ENGL C1000 H (4.00)', 'ENGL 102 (3.00)'), ('ENGL 103 (3.00)', 'ENGL 103H (3.00)', 'ENGL C1001 (3.00)', 'ENGL C1001 H (3.00)'))",https://assist.org/transfer/results?year=76&institution=97&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F97%2Fto%2F79%2FMajor%2F7d01fb7b-2afa-460e-ace0-08ddbf3f4ee7
